Database bucket sizes (target = 1000)
=====================================

| square   | category   |   newly_legal |   newly_illegal |   both |
|----------|------------|---------------|-----------------|--------|
| (3,3)    | remove     |          1000 |            1000 |   1000 |
| (3,3)    | add_mine   |             0 |               0 |      0 |
| (3,3)    | add_yours  |             0 |               0 |      0 |
| (3,3)    | flip       |          1000 |            1000 |   1000 |
| (0,3)    | remove     |          1000 |            1000 |   1000 |
| (0,3)    | add_mine   |          1000 |            1000 |   1000 |
| (0,3)    | add_yours  |          1000 |            1000 |   1000 |
| (0,3)    | flip       |          1000 |            1000 |    235 |
| (2,3)    | remove     |          1000 |            1000 |   1000 |
| (2,3)    | add_mine   |          1000 |            1000 |   1000 |
| (2,3)    | add_yours  |          1000 |            1000 |   1000 |
| (2,3)    | flip       |          1000 |            1000 |   1000 |
