Per-condition metrics (cal_depth=0, alpha=2.0, mode=fixed)
==========================================================

| square   | category   | sub_condition   |    n |   li_shift |   abs_dP_legal |   abs_dP_NL |   abs_dP_NI |   P_before_NL |   P_after_NI |   redistribution |
|----------|------------|-----------------|------|------------|----------------|-------------|-------------|---------------|--------------|------------------|
| (0,3)    | add_mine   | both            | 1000 |     0.0424 |         0.0741 |      0.0059 |     -0.0742 |        0.0006 |       0.0184 |           0.0058 |
| (0,3)    | add_mine   | newly_illegal   | 1000 |     0.0577 |         0.0631 |      0.0000 |     -0.0632 |        0.0000 |       0.0254 |           0.0000 |
| (0,3)    | add_mine   | newly_legal     | 1000 |     0.0796 |         0.0001 |      0.0148 |      0.0000 |        0.0000 |       0.0000 |           0.0000 |
| (0,3)    | add_yours  | both            | 1000 |     0.0056 |         0.0434 |      0.0008 |     -0.0434 |        0.0006 |       0.0551 |           0.0008 |
| (0,3)    | add_yours  | newly_illegal   | 1000 |     0.0630 |         0.0688 |      0.0000 |     -0.0690 |        0.0000 |       0.0198 |           0.0000 |
| (0,3)    | add_yours  | newly_legal     | 1000 |     0.0068 |         0.0000 |      0.0000 |      0.0000 |        0.0000 |       0.0000 |           0.0000 |
| (0,3)    | flip       | both            |  235 |     0.0080 |         0.0467 |      0.0197 |     -0.0467 |        0.0004 |       0.0595 |           0.0026 |
| (0,3)    | flip       | newly_illegal   | 1000 |     0.0412 |         0.0379 |      0.0000 |     -0.0379 |        0.0000 |       0.0647 |           0.0000 |
| (0,3)    | flip       | newly_legal     | 1000 |     0.0345 |        -0.0001 |      0.0122 |      0.0000 |        0.0009 |       0.0000 |           0.0000 |
| (0,3)    | remove     | both            | 1000 |     0.0296 |         0.0262 |      0.0597 |     -0.0262 |        0.0000 |       0.0828 |           0.0225 |
| (0,3)    | remove     | newly_illegal   | 1000 |     0.0331 |         0.0214 |      0.0000 |     -0.0217 |        0.0000 |       0.0825 |           0.0000 |
| (0,3)    | remove     | newly_legal     | 1000 |     0.0973 |         0.0000 |      0.0604 |      0.0000 |        0.0000 |       0.0000 |           0.0000 |
| (2,3)    | add_mine   | both            | 1000 |     0.1045 |         0.1034 |      0.0599 |     -0.1036 |        0.0001 |       0.0148 |           0.0508 |
| (2,3)    | add_mine   | newly_illegal   | 1000 |     0.1050 |         0.1003 |      0.0000 |     -0.1004 |        0.0000 |       0.0181 |           0.0000 |
| (2,3)    | add_mine   | newly_legal     | 1000 |     0.1469 |        -0.0004 |      0.1315 |      0.0000 |        0.0000 |       0.0000 |           0.0000 |
| (2,3)    | add_yours  | both            | 1000 |     0.1151 |         0.1056 |      0.0506 |     -0.1061 |        0.0000 |       0.0120 |           0.0441 |
| (2,3)    | add_yours  | newly_illegal   | 1000 |     0.0973 |         0.0935 |      0.0000 |     -0.0939 |        0.0000 |       0.0209 |           0.0000 |
| (2,3)    | add_yours  | newly_legal     | 1000 |     0.1487 |        -0.0011 |      0.0890 |      0.0000 |        0.0000 |       0.0000 |           0.0000 |
| (2,3)    | flip       | both            | 1000 |     0.0873 |         0.0766 |      0.0461 |     -0.0766 |        0.0002 |       0.0483 |           0.0374 |
| (2,3)    | flip       | newly_illegal   | 1000 |     0.0810 |         0.0554 |      0.0000 |     -0.0554 |        0.0000 |       0.0709 |           0.0000 |
| (2,3)    | flip       | newly_legal     | 1000 |     0.0970 |        -0.0001 |      0.0512 |      0.0000 |        0.0008 |       0.0000 |           0.0000 |
| (2,3)    | remove     | both            | 1000 |     0.0164 |         0.0222 |      0.0024 |     -0.0223 |        0.0000 |       0.1107 |           0.0024 |
| (2,3)    | remove     | newly_illegal   | 1000 |     0.0233 |         0.0092 |      0.0000 |     -0.0092 |        0.0000 |       0.1421 |           0.0000 |
| (2,3)    | remove     | newly_legal     | 1000 |     0.0540 |        -0.0000 |      0.0030 |      0.0000 |        0.0000 |       0.0000 |           0.0000 |
| (3,3)    | flip       | both            | 1000 |     0.1031 |         0.0958 |      0.0626 |     -0.0958 |        0.0002 |       0.0423 |           0.0525 |
| (3,3)    | flip       | newly_illegal   | 1000 |     0.1037 |         0.0777 |      0.0000 |     -0.0776 |        0.0000 |       0.0627 |           0.0000 |
| (3,3)    | flip       | newly_legal     | 1000 |     0.0936 |        -0.0001 |      0.0616 |      0.0000 |        0.0011 |       0.0000 |           0.0000 |
| (3,3)    | remove     | both            | 1000 |    -0.1514 |        -0.1804 |      0.0000 |     -0.0350 |        0.0000 |       0.1183 |           0.0000 |
| (3,3)    | remove     | newly_illegal   | 1000 |    -0.1624 |        -0.2070 |      0.0000 |     -0.0441 |        0.0000 |       0.1347 |           0.0000 |
| (3,3)    | remove     | newly_legal     | 1000 |    -0.1159 |        -0.1368 |      0.0000 |      0.0000 |        0.0000 |       0.0000 |           0.0000 |
