Multi-cell interventions (cal_depth=0, alpha=2.0, mode=fixed, pool ≤100, ≤50 hits/cond)
=======================================================================================

| category   | sub           |   N |   n_found |   mean_li_shift |   mean_abs_dP_legal |   mean_abs_dP_NL |   mean_abs_dP_NI |   mean_redistribution |
|------------|---------------|-----|-----------|-----------------|---------------------|------------------|------------------|-----------------------|
| remove     | newly_legal   |   1 |        50 |          0.0986 |              0.0002 |           0.0663 |           0.0000 |                0.0000 |
| remove     | newly_legal   |   2 |        50 |          0.1636 |              0.0013 |           0.1144 |           0.0000 |                0.0000 |
| remove     | newly_legal   |   3 |        50 |          0.2207 |             -0.0016 |           0.1363 |           0.0000 |                0.0000 |
| remove     | newly_legal   |   8 |        50 |          0.2813 |             -0.0219 |           0.2152 |           0.0000 |                0.0000 |
| remove     | newly_illegal |   1 |        50 |          0.0507 |              0.0407 |           0.0000 |          -0.0406 |                0.0000 |
| remove     | newly_illegal |   2 |        50 |          0.0750 |              0.0413 |           0.0000 |          -0.0412 |                0.0000 |
| remove     | newly_illegal |   3 |        50 |          0.0746 |              0.0601 |           0.0000 |          -0.0601 |                0.0000 |
| remove     | newly_illegal |   8 |        16 |          0.1135 |              0.0841 |           0.0000 |          -0.0850 |                0.0000 |
| remove     | both          |   1 |        50 |          0.0177 |              0.0214 |           0.0319 |          -0.0215 |                0.0133 |
| remove     | both          |   2 |        50 |          0.0814 |              0.0616 |           0.0492 |          -0.0646 |                0.0328 |
| remove     | both          |   3 |        50 |          0.0844 |              0.0746 |           0.0575 |          -0.0780 |                0.0440 |
| remove     | both          |   8 |        50 |          0.2265 |              0.2013 |           0.1429 |          -0.2272 |                0.1318 |
| add_mine   | newly_legal   |   1 |        50 |          0.0743 |              0.0011 |           0.0161 |           0.0000 |                0.0000 |
| add_mine   | newly_legal   |   2 |        50 |          0.1117 |             -0.0007 |           0.0619 |           0.0000 |                0.0000 |
| add_mine   | newly_legal   |   3 |        50 |          0.1612 |             -0.0001 |           0.1128 |           0.0000 |                0.0000 |
| add_mine   | newly_legal   |   8 |        38 |          0.1818 |             -0.0054 |           0.1982 |           0.0000 |                0.0000 |
| add_mine   | newly_illegal |   1 |        50 |          0.0729 |              0.0679 |           0.0000 |          -0.0679 |                0.0000 |
| add_mine   | newly_illegal |   2 |        50 |          0.1385 |              0.1552 |           0.0000 |          -0.1552 |                0.0000 |
| add_mine   | newly_illegal |   3 |        50 |          0.2187 |              0.2211 |           0.0000 |          -0.2212 |                0.0000 |
| add_mine   | newly_illegal |   8 |        50 |          0.4057 |              0.3964 |           0.0000 |          -0.3970 |                0.0000 |
| add_mine   | both          |   1 |        50 |          0.0448 |              0.0792 |           0.0113 |          -0.0793 |                0.0113 |
| add_mine   | both          |   2 |        50 |          0.1363 |              0.1779 |           0.0778 |          -0.1780 |                0.0778 |
| add_mine   | both          |   3 |        50 |          0.1768 |              0.2390 |           0.1105 |          -0.2394 |                0.1084 |
| add_mine   | both          |   8 |         3 |          0.5128 |              0.4862 |           0.3615 |          -0.4865 |                0.3615 |
| add_yours  | newly_legal   |   1 |        50 |          0.0322 |              0.0001 |           0.0027 |           0.0000 |                0.0000 |
| add_yours  | newly_legal   |   2 |        50 |          0.0883 |             -0.0019 |           0.0173 |           0.0000 |                0.0000 |
| add_yours  | newly_legal   |   3 |        50 |          0.1555 |             -0.0033 |           0.0618 |           0.0000 |                0.0000 |
| add_yours  | newly_legal   |   8 |        45 |          0.2550 |             -0.0243 |           0.1122 |           0.0000 |                0.0000 |
| add_yours  | newly_illegal |   1 |        50 |          0.0764 |              0.0662 |           0.0000 |          -0.0662 |                0.0000 |
| add_yours  | newly_illegal |   2 |        50 |          0.1555 |              0.1465 |           0.0000 |          -0.1467 |                0.0000 |
| add_yours  | newly_illegal |   3 |        50 |          0.1986 |              0.2001 |           0.0000 |          -0.2007 |                0.0000 |
| add_yours  | newly_illegal |   8 |        24 |          0.3700 |              0.4380 |           0.0000 |          -0.4388 |                0.0000 |
| add_yours  | both          |   1 |        50 |          0.0429 |              0.0682 |           0.0106 |          -0.0683 |                0.0098 |
| add_yours  | both          |   2 |        50 |          0.1337 |              0.1580 |           0.0468 |          -0.1590 |                0.0439 |
| add_yours  | both          |   3 |        50 |          0.2101 |              0.2517 |           0.1189 |          -0.2578 |                0.1158 |
| add_yours  | both          |   8 |        29 |          0.3752 |              0.4973 |           0.2840 |          -0.5224 |                0.2840 |
| flip       | newly_legal   |   1 |        50 |          0.0674 |              0.0000 |           0.0193 |           0.0000 |                0.0000 |
| flip       | newly_legal   |   2 |        50 |          0.1309 |             -0.0009 |           0.0743 |           0.0000 |                0.0000 |
| flip       | newly_legal   |   3 |        50 |          0.1215 |              0.0002 |           0.0944 |           0.0000 |                0.0000 |
| flip       | newly_legal   |   8 |        50 |          0.2086 |             -0.0021 |           0.2551 |           0.0000 |                0.0000 |
| flip       | newly_illegal |   1 |        50 |          0.0779 |              0.0519 |           0.0000 |          -0.0520 |                0.0000 |
| flip       | newly_illegal |   2 |        50 |          0.0798 |              0.0797 |           0.0000 |          -0.0796 |                0.0000 |
| flip       | newly_illegal |   3 |        50 |          0.1108 |              0.0898 |           0.0000 |          -0.0897 |                0.0000 |
| flip       | newly_illegal |   8 |        23 |          0.1393 |              0.1190 |           0.0000 |          -0.1190 |                0.0000 |
| flip       | both          |   1 |        50 |          0.0778 |              0.0761 |           0.0330 |          -0.0762 |                0.0264 |
| flip       | both          |   2 |        50 |          0.1311 |              0.1299 |           0.0754 |          -0.1300 |                0.0682 |
| flip       | both          |   3 |        50 |          0.1821 |              0.1835 |           0.1355 |          -0.1843 |                0.1253 |
| flip       | both          |   8 |         7 |          0.2421 |              0.3285 |           0.3233 |          -0.3173 |                0.2836 |
